From;To;Max Flow (MW);Min Flow (MW);Data Year;Source;Note
AS-CHN-JS;AS-CHN-SH;5000;-5000;2016;[69–71];
AS-CHN-JS;AS-CHN-SI;4000;-4000;2016;[69–71];
AS-CHN-JS;AS-CHN-SX;5000;-5000;2016;[69–71];
AS-CHN-JS;AS-CHN-ZH;0;0;2016;[69–71];
AS-CHN-JX;AS-CHN-WM;7200;-7200;2016;[69–71];
AS-CHN-JX;AS-CHN-ZH;0;0;2016;[69–71];
AS-CHN-LI;AS-PRK;100;-100;2017;[121];Estimate2
AS-CHN-NI;AS-CHN-SD;4000;-4000;2016;[69–71];
AS-CHN-NI;AS-CHN-SI;0;0;2016;[69–71];
AS-CHN-NI;AS-CHN-WM;0;0;2016;[69–71];
AS-CHN-NI;AS-CHN-ZH;7200;-7200;2016;[69–71];
AS-CHN-QI;AS-CHN-SC;0;0;2016;[69–71];
AS-CHN-QI;AS-CHN-TI;1500;-1500;2016;[69–71];
AS-CHN-QI;AS-CHN-XI;0;0;2016;[69–71];
AS-CHN-SC;AS-CHN-TI;0;0;2016;[69–71];
AS-CHN-SC;AS-CHN-YU;0;0;2016;[69–71];
AS-CHN-SD;AS-CHN-SX;4000;-4000;2016;[69–71];
AS-CHN-SD;AS-CHN-TJ;5000;-5000;2016;[69–71];
AS-CHN-SH;AS-CHN-ZH;5000;-5000;2016;[69–71];
AS-CHN-SI;AS-CHN-SC;0;0;2016;[69–71];
AS-CHN-SI;AS-CHN-SX;0;0;2016;[69–71];
AS-CHN-SI;AS-CHN-WM;0;0;2016;[69–71];
AS-CHN-SX;AS-CHN-WM;9000;-9000;2016;[69–71];
AS-CHN-TI;AS-CHN-XI;0;0;2016;[69–71];
AS-CHN-TI;AS-CHN-YU;0;0;2016;[69–71];
AS-CHN-TI;AS-IND-NE;0;0;2016;[69–71];
AS-CHN-TI;AS-IND-NO;0;0;2016;[69–71];
AS-CHN-TI;AS-MMR;0;0;2016;[69–71];
AS-CHN-TI;AS-NPL;0;0;2015;[110];
AS-CHN-TI;AS-PAK;0;0;2015;[110];
AS-CHN-WM;AS-MNG;0;0;2015;[110];
AS-CHN-WM;AS-RUS-SI;0;0;2016;[69–71];
AS-CHN-XI;AS-IND-NO;0;0;2016;[69–71];
AS-CHN-XI;AS-KAZ;0;0;2015;[110];
AS-CHN-XI;AS-KGZ;0;0;2015;[110];
AS-CHN-XI;AS-MNG;0;0;2015;[110];
AS-CHN-XI;AS-PAK;0;0;2015;[110];
AS-CHN-XI;AS-RUS-SI;0;0;2015;[110];
AS-CHN-XI;AS-TJK;0;0;2015;[110];
AS-CHN-YU;AS-CHN-ZH;7200;-7200;2016;[69–71];
AS-CHN-YU;AS-MMR;600;-600;2015;[110];
AS-CHN-YU;AS-VNM;500;-500;2015;[110];
AS-IDN;AS-MYS;0;0;2015;[115,116];Planned subsea line
AS-IDN;AS-PHL;0;0;2014;[115,116];Planned subsea line
AS-IDN;AS-SGP;0;0;2015;[115,116];Planned subsea line
AS-IDN;OC-PNG;0;0;2015;[122];
AS-IND-EA;AS-IND-NE;2860;-2860;2015;[78];
AS-IND-EA;AS-IND-NO;14230;-14230;2015;[78];
AS-IND-EA;AS-IND-SO;3630;-3630;2015;[78];
AS-IND-EA;AS-IND-WE;10690;-10690;2015;[78];
AS-IND-EA;AS-NPL;150;-150;2015;[123];
AS-IND-NE;AS-MMR;3;-3;2018;[114];
AS-IND-NO;AS-IND-WE;8720;-8720;2015;[78];
AS-IND-NO;AS-NPL;350;-350;2015;[123];
AS-IND-NO;AS-PAK;500;-500;2014;[124];
AS-IND-SO;AS-IND-WE;5720;-5720;2015;[78];
AS-IND-SO;AS-LKA;0;0;2018;[114];Planned subsea line
AS-IND-WE;AS-PAK;0;0;2014;[124];
AS-IRN;AS-IRQ;700;-700;2015;[125];
AS-IRN;AS-PAK;74;-74;2015;[126];
AS-IRN;AS-TKM;350;-350;2016;[127];
AS-IRN;AS-TUR;0;0;2017;[128];
AS-IRQ;AS-JOR;0;0;2015;[125];
AS-IRQ;AS-KWT;0;0;2015;[125];
AS-IRQ;AS-SAU;0;0;2015;[125];
AS-IRQ;AS-SYR;0;0;2015;[125];
AS-IRQ;AS-TUR;0;0;2017;[128];
AS-ISR;AS-JOR;0;-20;2013;[109];
AS-ISR;AS-LBN;0;0;2018;[129];
AS-ISR;AS-SYR;0;0;2018;[129];
AS-JOR;AS-SAU;0;0;2019;[130];
AS-JOR;AS-SYR;350;-200;2013;[109];
AS-JPN-CE;AS-JPN-KY;2800;-2800;2015;[81];
AS-JPN-CE;AS-JPN-SH;2600;-2600;2015;[81];
AS-JPN-CE;AS-JPN-TO;900;-900;2015;[81];
AS-JPN-HO;AS-JPN-TO;600;-600;2015;[81];
AS-KAZ;AS-KGZ;2540;-2540;2016;[131];
AS-KAZ;AS-RUS-CE;0;0;2016;[131];
AS-KAZ;AS-RUS-MV;370;-370;2016;[131];
AS-KAZ;AS-RUS-SI;4200;-4200;2016;[131];
AS-KAZ;AS-RUS-UR;5860;-5860;2016;[131];
AS-KAZ;AS-TKM;0;0;2016;[131];
AS-KAZ;AS-UZB;1900;-1900;2016;[131];
AS-KGZ;AS-TJK;412;-412;2016;[132];
AS-KGZ;AS-UZB;1500;-1500;2016;[132];
AS-KHM;AS-LAO;0;0;2015;[115,116];
AS-KHM;AS-THA;100;-100;2015;[115,116];
AS-KHM;AS-VNM;200;-200;2015;[115,116];
AS-KOR;AS-PRK;0;0;2015;[133];
AS-KWT;AS-SAU;1200;-1200;2013;[109];
AS-LAO;AS-MMR;5;-5;2018;[134];
AS-LAO;AS-THA;2111;-2111;2015;[115,116];
AS-LAO;AS-VNM;248;-248;2015;[115,116];
AS-LBN;AS-SYR;160;-50;2013;[109];
AS-MMR;AS-THA;0;0;2015;[115,116];
AS-MNG;AS-RUS-SI;100;-100;2017;[113];
AS-MYS;AS-PHL;0;0;2015;[115,116];Planned subsea line
AS-MYS;AS-THA;380;-380;2015;[115,116];
AS-OMN;AS-SAU;0;0;2013;[109];
AS-OMN;AS-YEM;0;0;2018;[135];
AS-PRK;AS-RUS-FE;0;0;2015;[133];
AS-QAT;AS-SAU;750;-750;2013;[109];
AS-RUS-CE;AS-RUS-MV;3500;-3500;2010;[84];
AS-RUS-CE;AS-RUS-NW;1500;-1500;2010;[84];
AS-RUS-CE;AS-RUS-SO;2400;-2400;2010;[84];
AS-RUS-CE;EU-UKR;1800;-1800;2019;[136];
AS-RUS-FE;AS-RUS-SI;0;0;2010;[84];
AS-RUS-MV;AS-RUS-UR;3000;-3000;2010;[84];
AS-RUS-NW;AS-RUS-UR;0;0;2010;[84];
AS-RUS-SI;AS-RUS-UR;3300;-3300;2010;[84];
AS-RUS-SO;EU-UKR;1200;-1200;2019;[136];
AS-SAU;AS-YEM;0;0;2018;[135];
AS-SYR;AS-TUR;250;-250;2013;[109];
AS-TJK;AS-UZB;5445;-5445;2016;[132];
AS-TKM;AS-UZB;0;0;2018;[137];
EU-ALB;EU-GRC;250;-250;2015;[138];Estimate3
EU-ALB;EU-KOS;210;-210;2012;[139];
EU-ALB;EU-MKD;0;0;2012;[139];
EU-ARM;AS-IRN;300;-300;2016;[140];
EU-ARM;AS-TUR;0;0;2015;[141];
EU-ARM;EU-AZE;0;0;2016;[140];
EU-ARM;EU-GEO;150;-150;2015;[142];
EU-AUT;EU-CHE;1700;-1700;2015;[143];UCC EU model
EU-AUT;EU-CZE;1000;-1200;2015;[143];UCC EU model
EU-AUT;EU-DEU;2100;-2100;2015;[143];UCC EU model
EU-AUT;EU-HUN;1200;-800;2015;[143];UCC EU model
EU-AUT;EU-ITA;405;-235;2015;[143];UCC EU model
EU-AUT;EU-SVK;0;0;2015;[143];UCC EU model
EU-AUT;EU-SVN;1200;-1200;2015;[143];UCC EU model
EU-AZE;AS-IRN;800;-800;2015;[144];
EU-AZE;AS-RUS-SO;500;-850;2015;[144];
EU-AZE;AS-TUR;100;-100;2015;[144];
EU-AZE;EU-GEO;1020;-1020;2015;[142];
EU-BEL;EU-DEU;0;0;2015;[143];UCC EU model
EU-BEL;EU-FRA;1800;-3300;2015;[143];UCC EU model
EU-BEL;EU-GBR;0;0;2015;[145];Planned subsea line
EU-BEL;EU-LUX;180;0;2015;[143];UCC EU model
EU-BEL;EU-NLD;400;-400;2015;[143];UCC EU model
EU-BGR;AS-TUR;650;-500;2017;[146];
EU-BGR;EU-GRC;1728;-1032;2015;[143];UCC EU model
EU-BGR;EU-MKD;400;-200;2011;[147];
EU-BGR;EU-ROU;400;-300;2015;[143];UCC EU model
EU-BGR;EU-SRB;600;-300;2015;[148];Estimate3
EU-BIH;EU-HRV;800;-800;2015;[148];Estimate3
EU-BIH;EU-MNE;725;-725;2015;[149];Estimate4
EU-BIH;EU-SRB;600;-600;2015;[148];Estimate3
EU-BLR;AS-RUS-CE;859;-1117;2006;[150];
EU-BLR;AS-RUS-NW;141;-183;2006;[150];
EU-BLR;EU-LTU;1300;-1350;2014;[151];
EU-BLR;EU-LVA;0;0;2015;[152];
EU-BLR;EU-POL;0;0;2013;[153];
EU-BLR;EU-UKR;900;-900;2018;[136];
EU-CHE;EU-DEU;4700;-3286;2015;[143];UCC EU model
EU-CHE;EU-FRA;1300;-3200;2015;[143];UCC EU model
EU-CHE;EU-ITA;4090;-3260;2015;[143];UCC EU model
EU-CYP;AF-EGY;0;0;2018;[154];Planned subsea line
EU-CYP;AS-ISR;0;0;2015;[145];Planned subsea line
EU-CYP;EU-GRC;0;0;2015;[145];Planned subsea line
EU-CZE;EU-DEU;300;0;2015;[143];UCC EU model
EU-CZE;EU-POL;500;-600;2015;[143];UCC EU model
EU-CZE;EU-SVK;2100;-1100;2015;[143];UCC EU model
EU-DEU;EU-DNK;2350;-2380;2015;[143];UCC EU model
EU-DEU;EU-FRA;3000;-3000;2015;[143];UCC EU model
EU-DEU;EU-LUX;2300;-2300;2015;[143];UCC EU model
EU-DEU;EU-NLD;3100;-3300;2015;[143];UCC EU model
EU-DEU;EU-NOR;0;0;2015;[145];Planned subsea line
EU-DEU;EU-POL;0;-1500;2015;[143];UCC EU model
EU-DEU;EU-SWE;600;-600;2015;[143];Subsea, UCC EU model
EU-DNK;EU-GBR;0;0;2015;[155];Planned subsea line
EU-DNK;EU-NLD;0;0;2015;[155];Planned subsea line
EU-DNK;EU-NOR;1640;-1640;2015;[143];Subsea, UCC EU model
EU-DNK;EU-SWE;2440;-1980;2015;[143];Subsea, UCC EU model
EU-ESP;AF-MAR;700;-700;2015;[143];Subsea, UCC EU model
EU-ESP;EU-FRA;1900;-2700;2015;[143];UCC EU model
EU-ESP;EU-PRT;2600;-2150;2015;[143];UCC EU model
EU-EST;AS-RUS-NW;850;-1000;2014;[151];
EU-EST;EU-FIN;1016;-1000;2015;[143];UCC EU model
EU-EST;EU-LVA;1100;-1100;2015;[143];UCC EU model
EU-FIN;AS-RUS-NW;320;-1300;2016;[156];
EU-FIN;EU-NOR;126;-126;2015;[157];
EU-FIN;EU-SWE;1500;-1900;2015;[143];UCC EU model
EU-FRA;EU-GBR;2000;-2000;2015;[143];Subsea, UCC EU model
EU-FRA;EU-IRL;0;0;2015;[155];Planned subsea line
EU-FRA;EU-ITA;4350;-2160;2015;[143];UCC EU model
EU-FRA;EU-LUX;380;0;2015;[143];UCC EU model
EU-GBR;EU-IRL;800;-800;2015;[143];Subsea, UCC EU model
EU-GBR;EU-ISL;0;0;2015;[145];Planned subsea line
EU-GBR;EU-NLD;1000;-1000;2015;[143];Subsea, UCC EU model
EU-GBR;EU-NOR;0;0;2015;[145];Planned subsea line
EU-GEO;AS-RUS-SO;750;-850;2015;[142];
EU-GEO;AS-TUR;850;-850;2015;[142];
EU-GRC;AS-TUR;650;-500;2017;[146];
EU-GRC;EU-ITA;500;-500;2015;[143];Subsea, UCC EU model
EU-GRC;EU-MKD;350;-450;2015;[148];Estimate3
EU-HRV;EU-HUN;2000;-2000;2015;[143];UCC EU model
EU-HRV;EU-MNE;0;0;2015;[152];
EU-HRV;EU-SRB;600;-600;2015;[148];Estimate3
EU-HRV;EU-SVN;2000;-2000;2015;[148];Estimate3
EU-HUN;EU-ROU;1300;-1400;2015;[143];UCC EU model
EU-HUN;EU-SRB;700;-800;2015;[148];Estimate3
EU-HUN;EU-SVK;1800;-450;2015;[143];UCC EU model
EU-HUN;EU-SVN;1700;-2000;2015;[143];UCC EU model
EU-HUN;EU-UKR;650;-650;2018;[136];
EU-ITA;AF-TUN;0;0;2016;[158];Planned subsea line
EU-ITA;EU-SVN;580;-530;2015;[143];
EU-KOS;EU-MKD;400;-400;2011;[159];
EU-KOS;EU-MNE;400;-400;2011;[159];
EU-KOS;EU-SRB;600;-600;2011;[159];
EU-LTU;AS-RUS-NW;680;-600;2014;[151];
EU-LTU;EU-LVA;1500;-1200;2015;[143];UCC EU model
EU-LTU;EU-POL;500;0;2015;[143];UCC EU model
EU-LTU;EU-SWE;700;-700;2015;[143];Subsea, UCC EU model
EU-LVA;AS-RUS-NW;1200;-1500;2006;[150];
EU-MDA;EU-ROU;0;0;2015;[148];Estimate3
EU-MDA;EU-UKR;700;-700;2018;[136];
EU-MKD;EU-SRB;300;-700;2015;[148];Estimate3
EU-MNE;EU-SRB;700;-700;2015;[148];Estimate3
EU-NLD;EU-NOR;700;-700;2015;[143];Subsea, UCC EU model
EU-NOR;AS-RUS-NW;50;-50;2013;[160];
EU-NOR;EU-SWE;3695;-3995;2015;[143];UCC EU model
EU-POL;EU-SVK;990;-990;2015;[143];UCC EU model
EU-POL;EU-SWE;600;-600;2015;[143];Subsea, UCC EU model
EU-POL;EU-UKR;235;-235;2018;[136];
EU-ROU;EU-SRB;700;-800;2015;[148];
EU-ROU;EU-UKR;650;-650;2018;[136];
EU-SVK;EU-UKR;650;-650;2018;[136];
NA-CAN-AB;NA-CAN-BC;1000;-1200;2015;[26];
NA-CAN-AB;NA-CAN-NO;0;0;2015;[26];
NA-CAN-AB;NA-CAN-SK;150;-150;2015;[26];
NA-CAN-AB;NA-USA-NW;325;-300;2015;[26];
NA-CAN-AR;NA-CAN-QC;785;-1029;2015;[28];
NA-CAN-AR;NA-USA-NE;1120;-750;2015;[6];
NA-CAN-BC;NA-CAN-NO;0;0;2015;[29];Estimate4
NA-CAN-BC;NA-USA-AK;0;0;2015;[29];Estimate4
NA-CAN-BC;NA-USA-NW;2364;-2364;2015;[29];Estimate4
NA-CAN-MB;NA-CAN-NO;0;0;2015;[27];
NA-CAN-MB;NA-CAN-ON;234;-234;2015;[27];
NA-CAN-MB;NA-CAN-SK;220;-175;2015;[27];
NA-CAN-MB;NA-USA-MW;2100;-2100;2015;[27];
NA-CAN-NL;NA-CAN-QC;5150;0;2012;[25];
NA-CAN-NO;NA-CAN-SK;0;0;2015;[24];
NA-CAN-ON;NA-CAN-QC;1970;-2705;2015;[6];
NA-CAN-ON;NA-USA-MW;132;-132;2015;[19];Estimate4
NA-CAN-ON;NA-USA-NY;1949;-1949;2015;[19];Estimate4
NA-CAN-ON;NA-USA-RM;1747;-1747;2015;[19];Estimate4
NA-CAN-QC;NA-USA-NE;2275;-2170;2015;[6];
NA-CAN-QC;NA-USA-NY;1999;-1100;2015;[6];
NA-CAN-SK;NA-USA-MW;100;-50;2015;[24];
NA-CRI;NA-NIC;300;-300;2015;[161];
NA-CRI;NA-PAN;300;-300;2015;[161];
NA-GTM;NA-HND;300;-300;2015;[161];
NA-GTM;NA-MEX;200;-200;2015;[161];
NA-GTM;NA-SLV;300;-300;2015;[161];
NA-HND;NA-NIC;300;-300;2015;[161];
NA-HND;NA-SLV;300;-300;2015;[161];
NA-USA-AZ;NA-MEX;0;0;2015-2017;[62];Estimate4
NA-USA-AZ;NA-USA-CA;7247;-7247;2015-2017;[62];Estimate4
NA-USA-AZ;NA-USA-ER;0;0;2015-2017;[62];Estimate4
NA-USA-AZ;NA-USA-NW;2067;-2067;2015-2017;[62];Estimate4
NA-USA-AZ;NA-USA-RA;1960;-1960;2015-2017;[62];Estimate4
NA-USA-AZ;NA-USA-SS;400;-400;2015-2017;[63];
NA-USA-CA;NA-MEX;408;-408;2015-2017;[62];Estimate4
NA-USA-CA;NA-USA-NW;10211;-10211;2015-2017;[62];Estimate4
NA-USA-ER;NA-MEX;431;-431;2015-2017;[62];Estimate4
NA-USA-ER;NA-USA-SA;0;0;2015-2017;[62];Estimate4
NA-USA-ER;NA-USA-SS;834;-834;2015-2017;[62];Estimate4
NA-USA-FR;NA-USA-SE;3897;-3897;2015-2017;[62];Estimate4
NA-USA-ME;NA-USA-MW;3000;-3000;2015-2017;[62];Estimate6
NA-USA-NW;NA-CAN-SK;0;0;2015-2017;[62];Estimate4
