ERROR [2024-07-31 17:26:15] [WARN] - Failed to add AFG_GAS_CAPACITY SCALER generator to AS-AFG node, skipping...
ERROR [2024-07-31 17:26:16] [WARN] - Failed to add ARG_GAS_CENTRALTERMICA97 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CENTRALTERMICA99 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CENTRALTERMOEL102 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CENTRALTERMOEL103 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CENTRALTERMOEL104 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_COMODORORIVADA110 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CRUZDEPIEDRA114 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CT13DEJULIO116 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTBRAGADO125 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTCONCEPCIOND134 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTENSENADADE137 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTINDEPENDENCI142 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTLASARMAS152 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTLASARMASII153 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTMATHEU159 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTOLAVARRIA162 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTPARANA164 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTPINAMAR168 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTPLUSPETROLN170 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTROCA173 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTSANMIGUELD178 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_CTTUCUMAN184 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_DEANFUNES190 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_DIQUE191 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_DOCKSUD192 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_EXCENTRALBUEN201 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_FILOMORADO202 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_GENERACIONFRIA206 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_GENERALLEVALLE208 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_GOYAELECTROPA211 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_LAPLATACOGENE219 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_LATABLADA221 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_LUJANDECUYO229 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_MARDEAJO230 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_MARDELPLATA231 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_MODESTOMARANZA235 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:17] [WARN] - Failed to add ARG_GAS_NUEVOPUERTO242 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_OBERATGN21243 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_PATAGONIA254 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_PICOTRUNCADOI257 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_PILARBICENTEN260 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_PRESIDENTESARM264 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_PUERTOMADRYN266 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_RIOCUARTO271 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_SANFRANCISCO276 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_SUDOESTE284 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_TARTAGAL285 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_TENARISSIDERCA286 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_VILLAGESELL291 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_VILLAMARIALA292 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_GAS_VUELTADEOBLIG293 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_NUC_ATUCHAI73 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_NUC_ATUCHAII74 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARG_NUC_EMBALSE198 generator to SA-ARG node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARM_GAS_CAPACITY SCALER generator to EU-ARM node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARM_GAS_HRAZADAN296 generator to EU-ARM node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARM_GAS_NEWYEREVAN297 generator to EU-ARM node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARM_GAS_YEREVAN302 generator to EU-ARM node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add ARM_NUC_ARMENIAN2295 generator to EU-ARM node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_ANGLESEA307 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_BAYSWATER320 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_CALLIDEA356 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_CALLIDEB357 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_CALLIDEC358 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_COLLIEA389 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_COLLIEBLUEWAT388 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_COLLINSVILLE390 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_ENERGYBRIX416 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_ERARING418 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_GLADSTONE427 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_HAZELWOOD445 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:18] [WARN] - Failed to add AUS_COA_KOGANCREEK477 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_KWINANAA482 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_KWINANAC483 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_LIDDELL506 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_LOYYANGA512 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_LOYYANGB513 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MILLMERRAN532 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MTPIPER546 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MUJAA548 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MUJAB549 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MUJAC550 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MUJAD551 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_MUNMORAH556 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_NORTHERN571 generator to OC-AUS-SA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_REDBANK605 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_STANWELL633 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_SWANBANKB640 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_TARONG649 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_TARONGNORTH650 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_VALESPOINTB680 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_WALLERAWANGC689 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_WORSLEY722 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_COA_YALLOURN726 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_APPINMINE308 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BAIRNSDALE311 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BALLARATBASEH312 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BAMARANG313 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BARCALDINELEN317 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BELLBAYBELL322 generator to OC-AUS-TA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BERRIMAH325 generator to OC-AUS-NT node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BRAEMAR1336 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BRAEMAR2337 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BREWER339 generator to OC-AUS-NT node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BROKENHILL342 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BROOME345 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BULWERISLAND348 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BURONGA349 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BURRUPPENINSUL352 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_BURRUPPENINSUL353 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:19] [WARN] - Failed to add AUS_GAS_CAMBALLIN359 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CANNINGTONMINE361 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CAPELAMBERT364 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CAPEPRESTON367 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CAPRALALUMINI370 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CARNARVON371 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CAWSENICKELMI374 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CHANNELISLAND377 generator to OC-AUS-NT node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CHARLESTOWNSQU378 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_COCKBURN385 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_COLONGRA391 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_CONDAMINEA392 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DAANDINE399 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DAMPIER400 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DARLINGDOWNS401 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DARLOTGOLDMIN402 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DERBY405 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DIAMANTINA407 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_DRYCREEK408 generator to OC-AUS-SA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_ESPERANCE419 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_EXMOUTH422 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_FITZROYCROSSIN424 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_GERALDTON425 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_GERMANCREEK426 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_GLENNIESCREEK429 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_HALLETT441 generator to OC-AUS-SA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_HALLSCREEK444 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_HUNTERVALLEY453 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_JEERALANGA458 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_JEERALANGB459 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_JUNDEEGOLDMIN463 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:20] [WARN] - Failed to add AUS_GAS_KALGOORLIENICK469 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KALGOORLIEPAR468 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KAMBALDA470 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KARRATHA473 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KATHERINE474 generator to OC-AUS-NT node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KEMERTON475 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KRCCOGENERATIO464 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KWINANA480 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KWINANAALCOA481 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KWINANACOGENER484 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KWINANAHIGHEF485 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KWINANANEWGEN486 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_KWINANASWIFT487 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_LADBROKEGROVE488 generator to OC-AUS-SA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_LAVERTONNORTH499 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_LEICHHARDT500 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_LEINSTERNICKEL501 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_LEONORA504 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_LONGFORD508 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MACKAY517 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MCARTHURRIVER524 generator to OC-AUS-NT node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MELBOURNE528 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MERREDIN529 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MICACREEK530 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MINTARO533 generator to OC-AUS-SA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MORANBAH534 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MORANBAHNORTH535 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MORTLAKE538 generator to OC-AUS-VI node, skipping...
